DATE,RFC_Six_Memory
1999-07-01,0.01822783942372613
1999-08-01,0.011644832803457655
1999-09-01,0.011810645722852406
1999-10-01,0.009083643231386596
1999-11-01,0.007372184235507341
1999-12-01,0.007452208079049889
2000-01-01,0.0054902302869009
2000-02-01,0.01314218620929005
2000-03-01,0.021574576239772963
2000-04-01,0.03124492990194773
2000-05-01,0.06810736026999072
2000-06-01,0.5604630352846421
2000-07-01,0.5053385029337362
2000-08-01,0.6929388054597484
2000-09-01,0.5387474837788819
2000-10-01,0.8600726283885757
2000-11-01,0.8130395791349735
2000-12-01,0.8177206438669361
2001-01-01,0.7427846648021262
2001-02-01,0.8886638085802403
2001-03-01,0.8349346351449857
2001-04-01,0.7671021435519482
2001-05-01,0.6465302699297926
2001-06-01,0.37472593972245
2001-07-01,0.3256367528770052
